name,category,subcategory,niche,city,lat,lon,rating,price_level,has_website,has_phone,opening_hours,cuisine,address,osm_class,osm_type,importance,description
Pharmacie Essenhaji Agadir صيدلية الصنهاجي أكادير,pharmacy,pharmacy,casual,Aït Melloul ⴰⵢⵜ ⵎⵍⵍⵓⵍ أيت ملول,30.3172602,-9.5027479,3.5,2,False,False,,,Boulevard Hassan II شارع الحسن الثاني,amenity,pharmacy,4.7882047760693024e-05,"Pharmacie Essenhaji Agadir صيدلية الصنهاجي أكادير - casual pharmacy in Aït Melloul ⴰⵢⵜ ⵎⵍⵍⵓⵍ أيت ملول, rated 3.5/5"
Spa,spa,spa,casual,Agadir ⴰⴳⴰⴷⵉⵔ أكادير,30.3865377,-9.5937842,3.5,2,False,False,,,Chemin des Dunes,building,yes,6.326009002818368e-05,"Spa - casual spa in Agadir ⴰⴳⴰⴷⵉⵔ أكادير, rated 3.5/5"
Borjs Hotel Suites & SPA,spa,spa,casual,Agadir ⴰⴳⴰⴷⵉⵔ أكادير,30.3972833,-9.5941581,3.5,2,False,False,,,Avenue Lahoucine Achengli,tourism,hotel,6.326009002818368e-05,"Borjs Hotel Suites & SPA - casual spa in Agadir ⴰⴳⴰⴷⵉⵔ أكادير, rated 3.5/5"
Tildi Hotel & Spa,spa,spa,casual,Agadir ⴰⴳⴰⴷⵉⵔ أكادير,30.4233972,-9.6065322,3.5,2,True,True,,,Rue Granada,tourism,hotel,6.326009002818368e-05,"Tildi Hotel & Spa - casual spa in Agadir ⴰⴳⴰⴷⵉⵔ أكادير, has website, has phone, rated 3.5/5"
Sofitel Agadir Thalassa Sea & Spa,spa,spa,casual,Agadir ⴰⴳⴰⴷⵉⵔ أكادير,30.3916119,-9.5981923,3.5,2,False,False,,,Corniche Tawada ⴽⵓⵔⵏⵉⵛ ⵜⴰⵡⴰⴷⴰ كورنيش تاوادا,tourism,hotel,6.326009002818368e-05,"Sofitel Agadir Thalassa Sea & Spa - casual spa in Agadir ⴰⴳⴰⴷⵉⵔ أكادير, rated 3.5/5"
Bo Hotel & Spa,spa,spa,casual,Agadir ⴰⴳⴰⴷⵉⵔ أكادير,30.3960472,-9.5938251,3.5,2,False,False,,,Avenue Lahoucine Achengli,tourism,hotel,6.326009002818368e-05,"Bo Hotel & Spa - casual spa in Agadir ⴰⴳⴰⴷⵉⵔ أكادير, rated 3.5/5"
Hammam(hommes),spa,hammam,casual,Essaouira الصويرة,31.4994156,-9.7572037,3.5,2,False,False,,,Rue Sabou زنقة سبو,amenity,drinking_water,3.750133516437045e-05,"Hammam(hommes) - casual spa in Essaouira الصويرة, rated 3.5/5"
Hammam(femmes),spa,hammam,casual,Essaouira الصويرة,31.4995437,-9.7572654,3.5,2,False,False,,,Rue Tansift,amenity,drinking_water,3.750133516437045e-05,"Hammam(femmes) - casual spa in Essaouira الصويرة, rated 3.5/5"
"Arab Spa, Hammam Beldi Traditionnel, Massages, Soin esthetiques",spa,hammam,casual,Essaouira الصويرة,31.5125089,-9.7658939,3.5,2,False,False,,,Moulay Abdelmalek,leisure,sauna,6.044327458605352e-05,"Arab Spa, Hammam Beldi Traditionnel, Massages, Soin esthetiques - casual spa in Essaouira الصويرة, rated 3.5/5"
hammam Pabst,spa,hammam,casual,Essaouira الصويرة,31.5150195,-9.7680110,3.5,2,False,False,,,Rue Annaser,leisure,sauna,6.044327458605352e-05,"hammam Pabst - casual spa in Essaouira الصويرة, rated 3.5/5"
ANNEXES GYM,gym,gym,casual,Agadir ⴰⴳⴰⴷⵉⵔ أكادير,30.4005707,-9.5857440,3.5,2,False,False,,,Avenue Lahoucine Achengli,building,school,6.326009002818368e-05,"ANNEXES GYM - casual gym in Agadir ⴰⴳⴰⴷⵉⵔ أكادير, rated 3.5/5"
Salle Tsouki Fitness & Musculation,gym,fitness,casual,Essaouira الصويرة,31.5203206,-9.7543920,3.5,2,False,True,Mo-Fr 08:30-23:30,,Avenue Mokhtar Soussi شارع المختار السوسي,leisure,fitness_centre,6.044327458605352e-05,"Salle Tsouki Fitness & Musculation - casual gym in Essaouira الصويرة, has opening hours, has phone, rated 3.5/5"
Hotel Agadir,hotel,hotel,casual,Méchouar Fès Jdid المشور فاس الجديد,34.0539706,-4.9894317,3.5,2,False,False,24/7,,Boulevard Boukhsissat شارع بولخصيصات,tourism,hostel,4.5001144426596745e-05,"Hotel Agadir - casual hotel in Méchouar Fès Jdid المشور فاس الجديد, has opening hours, rated 3.5/5"
H'Kid supermarket,supermarket,supermarket,casual,Aourir ⴰⵡⵔⵉⵔ أورير,30.5152070,-9.6833674,3.5,2,False,False,Mo-Su 09:00-23:00,,RN1,shop,supermarket,4.5001144426596745e-05,"H'Kid supermarket - casual supermarket in Aourir ⴰⵡⵔⵉⵔ أورير, has opening hours, rated 3.5/5"
Restaurant,restaurant,restaurant,casual,Fès ⴼⴰⵙ فاس,34.0089660,-4.9647471,3.5,2,False,False,,,Al Madina Mounawara,amenity,fast_food,6.616083009074567e-05,"Restaurant - casual restaurant in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Cafe fes,cafe,cafe,casual,Fès ⴼⴰⵙ فاس,34.0158558,-4.9654891,3.5,2,False,False,,,Rue El Bahae,amenity,cafe,5.000152590214416e-05,"Cafe fes - casual cafe in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Bar À R C Chic,bar,bar,casual,Fès ⴼⴰⵙ فاس,34.0444425,-4.9975842,3.5,2,False,False,,,Avenue Hassan II شارع الحسن الثاني,amenity,bar,6.616083009074567e-05,"Bar À R C Chic - casual bar in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Sky Bar (Hôtel Sahrai),bar,bar,casual,Fès ⴼⴰⵙ فاس,34.0435150,-4.9923165,3.5,2,False,True,,,زنقة المقدم لو توليك,amenity,bar,6.616083009074567e-05,"Sky Bar (Hôtel Sahrai) - casual bar in Fès ⴼⴰⵙ فاس, has phone, rated 3.5/5"
pub café BAR Progres,bar,bar,casual,Fès ⴼⴰⵙ فاس,34.0372233,-4.9992496,3.5,2,False,False,,,Rue Ghassan Kanafani,amenity,bar,6.616083009074567e-05,"pub café BAR Progres - casual bar in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Bar Isla Blanca,bar,bar,casual,Fès ⴼⴰⵙ فاس,34.0417769,-4.9996544,3.5,2,False,False,,,Avenue Hassan II شارع الحسن الثاني,amenity,bar,6.616083009074567e-05,"Bar Isla Blanca - casual bar in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Bar Astour,bar,bar,casual,Fès ⴼⴰⵙ فاس,34.0374762,-5.0001271,3.5,2,False,False,,,Avenue Mohamed Es Slaoui,amenity,bar,6.616083009074567e-05,"Bar Astour - casual bar in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Artistico Bar,bar,bar,casual,Fès ⴼⴰⵙ فاس,34.0170919,-4.9896803,3.5,2,False,False,,,Boulevard Abu Houriya,amenity,bar,6.616083009074567e-05,"Artistico Bar - casual bar in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Bar La Noblesse,bar,bar,casual,Fès ⴼⴰⵙ فاس,34.0398629,-4.9974169,3.5,2,False,False,,,Rue du 16 Novembre,amenity,bar,6.616083009074567e-05,"Bar La Noblesse - casual bar in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Bar restaurant Tivoli,bar,bar,casual,Fès ⴼⴰⵙ فاس,34.0377240,-4.9986756,3.5,2,False,False,,,Avenue Mohamed Es Slaoui,amenity,bar,6.616083009074567e-05,"Bar restaurant Tivoli - casual bar in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Bar restau,bar,bar,casual,Fès ⴼⴰⵙ فاس,34.0391766,-4.9987042,3.5,2,False,False,,,Boulevard Mohammed V شارع محمد الخامس,amenity,bar,6.616083009074567e-05,"Bar restau - casual bar in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Café  Bar Dalila,bar,bar,casual,Fès ⴼⴰⵙ فاس,34.0395525,-4.9988846,3.5,2,False,False,,,Boulevard Mohammed V شارع محمد الخامس,amenity,cafe,6.616083009074567e-05,"Café  Bar Dalila - casual bar in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Bar et restaurants,bar,bar,casual,Fès ⴼⴰⵙ فاس,34.0393639,-4.9994744,3.5,2,False,False,,,Rue Mohamed El Hayanai,amenity,bar,6.616083009074567e-05,"Bar et restaurants - casual bar in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Bar trianon,bar,bar,casual,Fès ⴼⴰⵙ فاس,34.0401237,-4.9989421,3.5,2,False,False,,,Boulevard Mohammed V شارع محمد الخامس,amenity,bar,6.616083009074567e-05,"Bar trianon - casual bar in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Bar voyageur,bar,bar,casual,Fès ⴼⴰⵙ فاس,34.0360567,-4.9978584,3.5,2,False,False,,,Rue Abdelkhalek Torres زنقة عبد الخالق الطريس,amenity,bar,6.616083009074567e-05,"Bar voyageur - casual bar in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Snak fes food,fast_food,fast food,casual,Fès ⴼⴰⵙ فاس,34.0351459,-4.9984952,3.5,2,False,False,,,Rue Rahal El Meskini,amenity,fast_food,6.616083009074567e-05,"Snak fes food - casual fast_food in Fès ⴼⴰⵙ فاس, rated 3.5/5"
